Freq.	V(n003)
9.31021621621623e+003	8.10452860214660e-010,2.84681509102159e-005
9.41031531531533e+003	8.29243684515838e-010,2.87962851896026e-005
9.51041441441443e+003	8.48293104401519e-010,2.91251618927085e-005
9.61051351351353e+003	8.67603163950600e-010,2.94547908488386e-005
9.71061261261263e+003	8.87175940566663e-010,2.97851819550823e-005
9.81071171171173e+003	9.07013545416522e-010,3.01163451773932e-005
9.91081081081083e+003	9.27118123877126e-010,3.04482905516836e-005
1.00109099099099e+004	9.47491855991564e-010,3.07810281849315e-005
1.01110090090090e+004	9.68136956933807e-010,3.11145682563026e-005
1.02111081081081e+004	9.89055677482747e-010,3.14489210182866e-005
1.03112072072072e+004	1.01025030450559e-009,3.17840967978480e-005
1.04113063063063e+004	1.03172316145060e-009,3.21201059975923e-005
1.05114054054054e+004	1.05347660884973e-009,3.24569590969469e-005
1.06115045045045e+004	1.07551304483100e-009,3.27946666533580e-005
1.07116036036036e+004	1.09783490564099e-009,3.31332393035037e-005
1.08117027027027e+004	1.12044466617759e-009,3.34726877645222e-005
1.09118018018018e+004	1.14334484053330e-009,3.38130228352578e-005
1.10119009009009e+004	1.16653798254904e-009,3.41542553975229e-005
1.11120000000000e+004	1.19002668637904e-009,3.44963964173774e-005
1.12120990990991e+004	1.21381358706670e-009,3.48394569464253e-005
1.13121981981982e+004	1.23790136113184e-009,3.51834481231302e-005
1.14122972972973e+004	1.26229272716952e-009,3.55283811741471e-005
1.15123963963964e+004	1.28699044646053e-009,3.58742674156746e-005
1.16124954954955e+004	1.31199732359410e-009,3.62211182548248e-005
1.17125945945946e+004	1.33731620710267e-009,3.65689451910131e-005
1.18126936936937e+004	1.36294999010940e-009,3.69177598173668e-005
1.19127927927928e+004	1.38890161098818e-009,3.72675738221548e-005
1.20128918918919e+004	1.41517405403701e-009,3.76183989902370e-005
1.21129909909910e+004	1.44177035016436e-009,3.79702472045341e-005
1.22130900900901e+004	1.46869357758937e-009,3.83231304475200e-005
1.23131891891892e+004	1.49594686255571e-009,3.86770608027341e-005
1.24132882882883e+004	1.52353338005977e-009,3.90320504563170e-005
1.25133873873874e+004	1.55145635459319e-009,3.93881116985675e-005
1.26134864864865e+004	1.57971906090014e-009,3.97452569255238e-005
1.27135855855856e+004	1.60832482474969e-009,4.01034986405666e-005
1.28136846846847e+004	1.63727702372362e-009,4.04628494560475e-005
1.29137837837838e+004	1.66657908801980e-009,4.08233220949399e-005
1.30138828828829e+004	1.69623450127171e-009,4.11849293925165e-005
1.31139819819820e+004	1.72624680138433e-009,4.15476842980509e-005
1.32140810810811e+004	1.75661958138681e-009,4.19115998765448e-005
1.33141801801802e+004	1.78735649030208e-009,4.22766893104823e-005
1.34142792792793e+004	1.81846123403406e-009,4.26429659016102e-005
1.35143783783784e+004	1.84993757627271e-009,4.30104430727459e-005
1.36144774774775e+004	1.88178933941726e-009,4.33791343696129e-005
1.37145765765766e+004	1.91402040551808e-009,4.37490534627052e-005
1.38146756756757e+004	1.94663471723760e-009,4.41202141491797e-005
1.39147747747748e+004	1.97963627883067e-009,4.44926303547793e-005
1.40148738738739e+004	2.01302915714479e-009,4.48663161357846e-005
1.41149729729730e+004	2.04681748264073e-009,4.52412856809982e-005
1.42150720720721e+004	2.08100545043384e-009,4.56175533137584e-005
1.43151711711712e+004	2.11559732135661e-009,4.59951334939860e-005
1.44152702702703e+004	2.15059742304296e-009,4.63740408202635e-005
1.45153693693694e+004	2.18601015103479e-009,4.67542900319472e-005
1.46154684684685e+004	2.22183996991100e-009,4.71358960113136e-005
1.47155675675676e+004	2.25809141444005e-009,4.75188737857400e-005
1.48156666666667e+004	2.29476909075593e-009,4.79032385299209e-005
1.49157657657658e+004	2.33187767755861e-009,4.82890055681196e-005
1.50158648648649e+004	2.36942192733921e-009,4.86761903764576e-005
1.51159639639640e+004	2.40740666763058e-009,4.90648085852406e-005
1.52160630630631e+004	2.44583680228387e-009,4.94548759813229e-005
1.53161621621622e+004	2.48471731277162e-009,4.98464085105115e-005
1.54162612612613e+004	2.52405325951813e-009,5.02394222800089e-005
1.55163603603604e+004	2.56384978325752e-009,5.06339335608978e-005
1.56164594594595e+004	2.60411210642019e-009,5.10299587906660e-005
1.57165585585586e+004	2.64484553454872e-009,5.14275145757750e-005
1.58166576576577e+004	2.68605545774312e-009,5.18266176942703e-005
1.59167567567568e+004	2.72774735213697e-009,5.22272850984373e-005
1.60168558558559e+004	2.76992678140439e-009,5.26295339175013e-005
1.61169549549550e+004	2.81259939829938e-009,5.30333814603736e-005
1.62170540540541e+004	2.85577094622752e-009,5.34388452184447e-005
1.63171531531532e+004	2.89944726085125e-009,5.38459428684254e-005
1.64172522522523e+004	2.94363427172947e-009,5.42546922752366e-005
1.65173513513514e+004	2.98833800399229e-009,5.46651114949493e-005
1.66174504504505e+004	3.03356458005145e-009,5.50772187777755e-005
1.67175495495496e+004	3.07932022134788e-009,5.54910325711110e-005
1.68176486486487e+004	3.12561125013668e-009,5.59065715226317e-005
1.69177477477478e+004	3.17244409131089e-009,5.63238544834437e-005
1.70178468468469e+004	3.21982527426455e-009,5.67429005112896e-005
1.71179459459460e+004	3.26776143479656e-009,5.71637288738106e-005
1.72180450450451e+004	3.31625931705578e-009,5.75863590518670e-005
1.73181441441442e+004	3.36532577552871e-009,5.80108107429180e-005
1.74182432432433e+004	3.41496777707076e-009,5.84371038644608e-005
1.75183423423424e+004	3.46519240298204e-009,5.88652585575328e-005
1.76184414414415e+004	3.51600685112902e-009,5.92952951902758e-005
1.77185405405406e+004	3.56741843811280e-009,5.97272343615647e-005
1.78186396396397e+004	3.61943460148570e-009,6.01610969047026e-005
1.79187387387388e+004	3.67206290201684e-009,6.05969038911821e-005
1.80188378378379e+004	3.72531102600825e-009,6.10346766345163e-005
1.81189369369370e+004	3.77918678766271e-009,6.14744366941391e-005
1.82190360360361e+004	3.83369813150466e-009,6.19162058793781e-005
1.83191351351352e+004	3.88885313485536e-009,6.23600062534999e-005
1.84192342342342e+004	3.94466001036386e-009,6.28058601378311e-005
1.85193333333333e+004	4.00112710859512e-009,6.32537901159554e-005
1.86194324324324e+004	4.05826292067684e-009,6.37038190379891e-005
1.87195315315315e+004	4.11607608100627e-009,6.41559700249372e-005
1.88196306306306e+004	4.17457537001876e-009,6.46102664731302e-005
1.89197297297297e+004	4.23376971701959e-009,6.50667320587457e-005
1.90198288288288e+004	4.29366820308070e-009,6.55253907424150e-005
1.91199279279279e+004	4.35428006400391e-009,6.59862667739174e-005
1.92200270270270e+004	4.41561469335262e-009,6.64493846969635e-005
1.93201261261261e+004	4.47768164555342e-009,6.69147693540709e-005
1.94202252252252e+004	4.54049063906982e-009,6.73824458915329e-005
1.95203243243243e+004	4.60405155964966e-009,6.78524397644826e-005
1.96204234234234e+004	4.66837446364845e-009,6.83247767420558e-005
1.97205225225225e+004	4.73346958143024e-009,6.87994829126536e-005
1.98206216216216e+004	4.79934732084873e-009,6.92765846893075e-005
1.99207207207207e+004	4.86601827080994e-009,6.97561088151493e-005
2.00208198198198e+004	4.93349320491941e-009,7.02380823689886e-005
2.01209189189189e+004	5.00178308521549e-009,7.07225327710001e-005
2.02210180180180e+004	5.07089906599173e-009,7.12094877885225e-005
2.03211171171171e+004	5.14085249771013e-009,7.16989755419739e-005
2.04212162162162e+004	5.21165493100818e-009,7.21910245108832e-005
2.05213153153153e+004	5.28331812080199e-009,7.26856635400433e-005
2.06214144144144e+004	5.35585403048835e-009,7.31829218457872e-005
2.07215135135135e+004	5.42927483624795e-009,7.36828290223902e-005
2.08216126126126e+004	5.50359293145333e-009,7.41854150486013e-005
2.09217117117117e+004	5.57882093118371e-009,7.46907102943078e-005
2.10218108108108e+004	5.65497167684989e-009,7.51987455273343e-005
2.11219099099099e+004	5.73205824093255e-009,7.57095519203812e-005
2.12220090090090e+004	5.81009393183673e-009,7.62231610581053e-005
2.13221081081081e+004	5.88909229886596e-009,7.67396049443460e-005
2.14222072072072e+004	5.96906713731912e-009,7.72589160095003e-005
2.15223063063063e+004	6.05003249371415e-009,7.77811271180510e-005
2.16224054054054e+004	6.13200267114114e-009,7.83062715762512e-005
2.17225045045045e+004	6.21499223474955e-009,7.88343831399695e-005
2.18226036036036e+004	6.29901601737254e-009,7.93654960226986e-005
2.19227027027027e+004	6.38408912529288e-009,7.98996449037338e-005
2.20228018018018e+004	6.47022694415428e-009,8.04368649365224e-005
2.21229009009009e+004	6.55744514502200e-009,8.09771917571910e-005
2.22230000000000e+004	6.64575969059773e-009,8.15206614932539e-005
2.23230990990991e+004	6.73518684159276e-009,8.20673107725071e-005
2.24231981981982e+004	6.82574316326394e-009,8.26171767321127e-005
2.25232972972973e+004	6.91744553211750e-009,8.31702970278794e-005
2.26233963963964e+004	7.01031114278534e-009,8.37267098437417e-005
2.27234954954954e+004	7.10435751507934e-009,8.42864539014461e-005
2.28235945945945e+004	7.19960250122814e-009,8.48495684704469e-005
2.29236936936936e+004	7.29606429330257e-009,8.54160933780182e-005
2.30237927927927e+004	7.39376143083488e-009,8.59860690195873e-005
2.31238918918918e+004	7.49271280863779e-009,8.65595363692956e-005
2.32239909909909e+004	7.59293768482894e-009,8.71365369907928e-005
2.33240900900900e+004	7.69445568906745e-009,8.77171130482690e-005
2.34241891891891e+004	7.79728683100872e-009,8.83013073177341e-005
2.35242882882882e+004	7.90145150898368e-009,8.88891631985477e-005
2.36243873873873e+004	8.00697051891025e-009,8.94807247252079e-005
2.37244864864864e+004	8.11386506344299e-009,9.00760365794051e-005
2.38245855855855e+004	8.22215676136904e-009,9.06751441023485e-005
2.39246846846846e+004	8.33186765725757e-009,9.12780933073720e-005
2.40247837837837e+004	8.44302023137042e-009,9.18849308928266e-005
2.41248828828828e+004	8.55563740984247e-009,9.24957042552683e-005
2.42249819819819e+004	8.66974257513965e-009,9.31104615029476e-005
2.43250810810810e+004	8.78535957680324e-009,9.37292514696106e-005
2.44251801801801e+004	8.90251274249003e-009,9.43521237286189e-005
2.45252792792792e+004	9.02122688931686e-009,9.49791286073969e-005
2.46253783783783e+004	9.14152733551937e-009,9.56103172022166e-005
2.47254774774774e+004	9.26343991243553e-009,9.62457413933282e-005
2.48255765765765e+004	9.38699097682305e-009,9.68854538604455e-005
2.49256756756756e+004	9.51220742352245e-009,9.75295080985975e-005
2.50257747747747e+004	9.63911669847643e-009,9.81779584343553e-005
2.51258738738738e+004	9.76774681211667e-009,9.88308600424444e-005
2.52259729729729e+004	9.89812635313045e-009,9.94882689627537e-005
2.53260720720720e+004	1.00302845026192e-008,1.00150242117753e-004
2.54261711711711e+004	1.01642510486616e-008,1.00816837330330e-004
2.55262702702702e+004	1.03000564012944e-008,1.01488113342055e-004
2.56263693693693e+004	1.04377316079253e-008,1.02164129831894e-004
2.57264684684684e+004	1.05773083691910e-008,1.02844947435377e-004
2.58265675675675e+004	1.07188190552761e-008,1.03530627764229e-004
2.59266666666666e+004	1.08622967227080e-008,1.04221233426492e-004
2.60267657657657e+004	1.10077751316428e-008,1.04916828047140e-004
2.61268648648648e+004	1.11552887636602e-008,1.05617476289202e-004
2.62269639639639e+004	1.13048728400826e-008,1.06323243875413e-004
2.63270630630630e+004	1.14565633408380e-008,1.07034197610411e-004
2.64271621621621e+004	1.16103970238837e-008,1.07750405403480e-004
2.65272612612612e+004	1.17664114452106e-008,1.08471936291877e-004
2.66273603603603e+004	1.19246449794476e-008,1.09198860464741e-004
2.67274594594594e+004	1.20851368410870e-008,1.09931249287616e-004
2.68275585585585e+004	1.22479271063517e-008,1.10669175327598e-004
2.69276576576576e+004	1.24130567357278e-008,1.11412712379122e-004
2.70277567567566e+004	1.25805675971836e-008,1.12161935490419e-004
2.71278558558557e+004	1.27505024901008e-008,1.12916920990658e-004
2.72279549549548e+004	1.29229051699424e-008,1.13677746517785e-004
2.73280540540539e+004	1.30978203736819e-008,1.14444491047096e-004
2.74281531531530e+004	1.32752938460232e-008,1.15217234920557e-004
2.75282522522521e+004	1.34553723664374e-008,1.15996059876890e-004
2.76283513513512e+004	1.36381037770455e-008,1.16781049082463e-004
2.77284504504503e+004	1.38235370113787e-008,1.17572287162994e-004
2.78285495495494e+004	1.40117221240471e-008,1.18369860236102e-004
2.79286486486485e+004	1.42027103213496e-008,1.19173855944733e-004
2.80287477477476e+004	1.43965539928586e-008,1.19984363491480e-004
2.81288468468467e+004	1.45933067440165e-008,1.20801473673834e-004
2.82289459459458e+004	1.47930234297799e-008,1.21625278920394e-004
2.83290450450449e+004	1.49957601893503e-008,1.22455873328062e-004
2.84291441441440e+004	1.52015744820315e-008,1.23293352700258e-004
2.85292432432431e+004	1.54105251242563e-008,1.24137814586188e-004
2.86293423423422e+004	1.56226723278239e-008,1.24989358321197e-004
2.87294414414413e+004	1.58380777393962e-008,1.25848085068243e-004
2.88295405405404e+004	1.60568044812989e-008,1.26714097860533e-004
2.89296396396395e+004	1.62789171936759e-008,1.27587501645348e-004
2.90297387387386e+004	1.65044820780507e-008,1.28468403329110e-004
2.91298378378377e+004	1.67335669423462e-008,1.29356911823720e-004
2.92299369369368e+004	1.69662412474209e-008,1.30253138094218e-004
2.93300360360359e+004	1.72025761551776e-008,1.31157195207803e-004
2.94301351351350e+004	1.74426445783082e-008,1.32069198384260e-004
2.95302342342341e+004	1.76865212317357e-008,1.32989265047848e-004
2.96303333333332e+004	1.79342826858219e-008,1.33917514880688e-004
2.97304324324323e+004	1.81860074214080e-008,1.34854069877707e-004
2.98305315315314e+004	1.84417758867629e-008,1.35799054403194e-004
2.99306306306305e+004	1.87016705565128e-008,1.36752595249019e-004
3.00307297297296e+004	1.89657759926319e-008,1.37714821694573e-004
3.01308288288287e+004	1.92341789075770e-008,1.38685865568490e-004
3.02309279279278e+004	1.95069682296517e-008,1.39665861312216e-004
3.03310270270269e+004	1.97842351706916e-008,1.40654946045483e-004
3.04311261261260e+004	2.00660732961623e-008,1.41653259633758e-004
3.05312252252251e+004	2.03525785977724e-008,1.42660944757740e-004
3.06313243243242e+004	2.06438495687018e-008,1.43678146984976e-004
3.07314234234233e+004	2.09399872815541e-008,1.44705014843667e-004
3.08315225225224e+004	2.12410954691477e-008,1.45741699898751e-004
3.09316216216215e+004	2.15472806082609e-008,1.46788356830339e-004
3.10317207207206e+004	2.18586520064580e-008,1.47845143514591e-004
3.11318198198197e+004	2.21753218921239e-008,1.48912221107127e-004
3.12319189189187e+004	2.24974055078444e-008,1.49989754129051e-004
3.13320180180178e+004	2.28250212072740e-008,1.51077910555699e-004
3.14321171171169e+004	2.31582905556411e-008,1.52176861908215e-004
3.15322162162160e+004	2.34973384340461e-008,1.53286783348034e-004
3.16323153153151e+004	2.38422931477175e-008,1.54407853774420e-004
3.17324144144142e+004	2.41932865383974e-008,1.55540255925136e-004
3.18325135135133e+004	2.45504541010378e-008,1.56684176480394e-004
3.19326126126124e+004	2.49139351049960e-008,1.57839806170194e-004
3.20327117117115e+004	2.52838727199290e-008,1.59007339885182e-004
3.21328108108106e+004	2.56604141465951e-008,1.60186976791173e-004
3.22329099099097e+004	2.60437107527829e-008,1.61378920447474e-004
3.23330090090088e+004	2.64339182145961e-008,1.62583378929147e-004
3.24331081081079e+004	2.68311966633391e-008,1.63800564953382e-004
3.25332072072070e+004	2.72357108382546e-008,1.65030696010138e-004
3.26333063063061e+004	2.76476302453833e-008,1.66273994497202e-004
3.27334054054052e+004	2.80671293228257e-008,1.67530687859876e-004
3.28335045045043e+004	2.84943876127020e-008,1.68801008735447e-004
3.29336036036034e+004	2.89295899401207e-008,1.70085195102646e-004
3.30337027027025e+004	2.93729265994860e-008,1.71383490436298e-004
3.31338018018016e+004	2.98245935484866e-008,1.72696143867375e-004
3.32339009009007e+004	3.02847926101290e-008,1.74023410348666e-004
3.33339999999998e+004	3.07537316832006e-008,1.75365550826306e-004
3.34340990990989e+004	3.12316249615634e-008,1.76722832417400e-004
3.35341981981980e+004	3.17186931627042e-008,1.78095528593997e-004
3.36342972972971e+004	3.22151637659901e-008,1.79483919373687e-004
3.37343963963962e+004	3.27212712611011e-008,1.80888291517088e-004
3.38344954954953e+004	3.32372574071390e-008,1.82308938732527e-004
3.39345945945944e+004	3.37633715029398e-008,1.83746161888221e-004
3.40346936936935e+004	3.42998706691435e-008,1.85200269232275e-004
3.41347927927926e+004	3.48470201426099e-008,1.86671576620838e-004
3.42348918918917e+004	3.54050935837998e-008,1.88160407754774e-004
3.43349909909908e+004	3.59743733977767e-008,1.89667094425222e-004
3.44350900900899e+004	3.65551510695220e-008,1.91191976768428e-004
3.45351891891890e+004	3.71477275142953e-008,1.92735403530272e-004
3.46352882882881e+004	3.77524134438162e-008,1.94297732340916e-004
3.47353873873872e+004	3.83695297490865e-008,1.95879330000032e-004
3.48354864864863e+004	3.89994079007203e-008,1.97480572773082e-004
3.49355855855854e+004	3.96423903677032e-008,1.99101846699159e-004
3.50356846846845e+004	4.02988310555520e-008,2.00743547910914e-004
3.51357837837836e+004	4.09690957649091e-008,2.02406082967137e-004
3.52358828828827e+004	4.16535626716644e-008,2.04089869198563e-004
3.53359819819818e+004	4.23526228297648e-008,2.05795335067532e-004
3.54360810810809e+004	4.30666806979439e-008,2.07522920542154e-004
3.55361801801800e+004	4.37961546916772e-008,2.09273077485666e-004
3.56362792792791e+004	4.45414777617508e-008,2.11046270061697e-004
3.57363783783781e+004	4.53030980009166e-008,2.12842975156221e-004
3.58364774774772e+004	4.60814792802018e-008,2.14663682816990e-004
3.59365765765763e+004	4.68771019165355e-008,2.16508896711304e-004
3.60366756756754e+004	4.76904633734641e-008,2.18379134603017e-004
3.61367747747745e+004	4.85220789968396e-008,2.20274928849729e-004
3.62368738738736e+004	4.93724827874857e-008,2.22196826921170e-004
3.63369729729727e+004	5.02422282129759e-008,2.24145391939829e-004
3.64370720720718e+004	5.11318890608020e-008,2.26121203244953e-004
3.65371711711709e+004	5.20420603353531e-008,2.28124856981119e-004
3.66372702702700e+004	5.29733592012942e-008,2.30156966712608e-004
3.67373693693691e+004	5.39264259761014e-008,2.32218164064933e-004
3.68374684684682e+004	5.49019251746968e-008,2.34309099394925e-004
3.69375675675673e+004	5.59005466093272e-008,2.36430442490871e-004
3.70376666666664e+004	5.69230065480449e-008,2.38582883304284e-004
3.71377657657655e+004	5.79700489353797e-008,2.40767132714992e-004
3.72378648648646e+004	5.90424466790391e-008,2.42983923331331e-004
3.73379639639637e+004	6.01410030067453e-008,2.45234010327322e-004
3.74380630630628e+004	6.12665528976022e-008,2.47518172318857e-004
3.75381621621619e+004	6.24199645927019e-008,2.49837212281024e-004
3.76382612612610e+004	6.36021411900138e-008,2.52191958508844e-004
3.77383603603601e+004	6.48140223289651e-008,2.54583265623835e-004
3.78384594594592e+004	6.60565859705130e-008,2.57012015628973e-004
3.79385585585583e+004	6.73308502789372e-008,2.59479119014789e-004
3.80386576576574e+004	6.86378756120345e-008,2.61985515919517e-004
3.81387567567565e+004	6.99787666269055e-008,2.64532177346401e-004
3.82388558558556e+004	7.13546745090517e-008,2.67120106441464e-004
3.83389549549547e+004	7.27667993330946e-008,2.69750339835291e-004
3.84390540540538e+004	7.42163925640592e-008,2.72423949052576e-004
3.85391531531529e+004	7.57047597088537e-008,2.75142041993486e-004
3.86392522522520e+004	7.72332631283235e-008,2.77905764491115e-004
3.87393513513511e+004	7.88033250210750e-008,2.80716301949663e-004
3.88394504504502e+004	8.04164305911446e-008,2.83574881068230e-004
3.89395495495493e+004	8.20741314125541e-008,2.86482771655521e-004
3.90396486486484e+004	8.37780490048406e-008,2.89441288541084e-004
3.91397477477475e+004	8.55298786347939e-008,2.92451793589131e-004
3.92398468468466e+004	8.73313933608803e-008,2.95515697821434e-004
3.93399459459457e+004	8.91844483381940e-008,2.98634463656234e-004
3.94400450450448e+004	9.10909854032643e-008,3.01809607270643e-004
3.95401441441439e+004	9.30530379596747e-008,3.05042701094550e-004
3.96402432432430e+004	9.50727361872294e-008,3.08335376444656e-004
3.97403423423421e+004	9.71523125993523e-008,3.11689326307910e-004
3.98404414414412e+004	9.92941079755399e-008,3.15106308284321e-004
3.99405405405402e+004	1.01500577698038e-007,3.18588147699909e-004
4.00406396396393e+004	1.03774298524478e-007,3.22136740901363e-004
4.01407387387384e+004	1.06117975831052e-007,3.25754058744925e-004
4.02408378378375e+004	1.08534451363896e-007,3.29442150292968e-004
4.03409369369366e+004	1.11026711539804e-007,3.33203146732853e-004
4.04410360360357e+004	1.13597896341149e-007,3.37039265533814e-004
4.05411351351348e+004	1.16251308854052e-007,3.40952814858899e-004
4.06412342342339e+004	1.18990425503465e-007,3.44946198250434e-004
4.07413333333330e+004	1.21818907043877e-007,3.49021919608980e-004
4.08414324324321e+004	1.24740610370003e-007,3.53182588487472e-004
4.09415315315312e+004	1.27759601218026e-007,3.57430925724059e-004
4.10416306306303e+004	1.30880167834877e-007,3.61769769439189e-004
4.11417297297294e+004	1.34106835700684e-007,3.66202081424750e-004
4.12418288288285e+004	1.37444383398039e-007,3.70730953955447e-004
4.13419279279276e+004	1.40897859731195e-007,3.75359617055389e-004
4.14420270270267e+004	1.44472602208857e-007,3.80091446255729e-004
4.15421261261258e+004	1.48174257015941e-007,3.84929970882550e-004
4.16422252252249e+004	1.52008800612851e-007,3.89878882917742e-004
4.17423243243240e+004	1.55982563115416e-007,3.94942046479643e-004
4.18424234234231e+004	1.60102253625082e-007,4.00123507974598e-004
4.19425225225222e+004	1.64374987697264e-007,4.05427506975506e-004
4.20426216216213e+004	1.68808317156439e-007,4.10858487888817e-004
4.21427207207204e+004	1.73410262489641e-007,4.16421112477464e-004
4.22428198198195e+004	1.78189348076111e-007,4.22120273313905e-004
